Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-May-18,1799,1812,1776.2,1782.45,1787.763908,737,105,1317582,424,57.53,35.8,-16.55
10-May-18,1772.25,1786,1770,1772,1775.416667,516,58,916115,297,57.56,16,-0.25
9-May-18,1789.6,1801,1781,1784,1791.653753,826,143,1479906,449,54.36,20,-5.6
8-May-18,1790.5,1827,1772.95,1778.4,1793.833706,2237,185,4012806,1400,62.58,54.05,-12.1
7-May-18,1790.05,1834.25,1790.05,1802,1805.706861,481,39,868545,270,56.13,44.2,11.95
4-May-18,1810,1836.8,1790.35,1802.25,1808.456704,1432,114,2589710,757,52.86,46.45,-7.75
3-May-18,1845,1849,1802.15,1814.75,1823.959059,1148,145,2093905,623,54.27,46.85,-30.25
2-May-18,1876.4,1901.8,1850,1856.75,1867.548972,2042,190,3813535,830,40.65,51.8,-19.65
30-Apr-18,1895.15,1899.95,1866.7,1877.9,1880.109777,1166,194,2192208,600,51.46,33.25,-17.25
27-Apr-18,1913.6,1919.6,1895,1903.4,1904.150794,504,63,959692,227,45.04,24.6,-10.2
26-Apr-18,1939.75,1945.75,1874.95,1911,1920.614052,1039,162,1995518,473,45.52,70.8,-28.75
25-Apr-18,1940.8,1954.9,1940.5,1950,1949.6102,5490,178,10703360,4897,89.2,14.4,9.2
24-Apr-18,1937.05,1950.9,1934.2,1946.25,1948.123722,978,149,1905265,712,72.8,16.7,9.2
23-Apr-18,1931.95,1962.35,1931.95,1956.8,1952.645327,1562,112,3050032,1310,83.87,30.4,24.85
20-Apr-18,1974,1975,1921,1940.85,1969.687962,13931,114,27439723,13594,97.58,54,-33.15
19-Apr-18,1946.15,1980,1939.65,1974.2,1968.024742,485,68,954492,240,49.48,40.35,28.05
18-Apr-18,1959.75,1959.75,1936,1939.15,1942.810964,529,96,1027747,290,54.82,23.75,-20.6
17-Apr-18,1975,1988,1955,1974.05,1973.423148,2160,318,4262594,588,27.22,33,-0.95
16-Apr-18,1928.8,1965.2,1915,1952,1950.510689,842,125,1642330,424,50.36,50.2,23.2
13-Apr-18,1928.15,1944.9,1916,1920.45,1934.746544,217,81,419840,103,47.47,28.9,-7.7
12-Apr-18,1893.15,1908.75,1890,1905.3,1896.439197,847,76,1606284,434,51.24,18.75,12.15
11-Apr-18,1900,1907.45,1890.7,1896.7,1900.736156,307,41,583526,75,24.43,16.75,-3.3
10-Apr-18,1905.05,1922.2,1903.5,1910,1909.634981,263,44,502234,115,43.73,18.7,4.95
9-Apr-18,1913.15,1913.15,1898,1906.15,1905.268421,190,37,362001,92,48.42,15.15,-7
6-Apr-18,1919,1935,1892.1,1902.55,1915.581761,318,89,609155,104,32.7,42.9,-16.45
5-Apr-18,1879,1917,1855.25,1909.1,1885.698656,1563,156,2947347,782,50.03,61.75,30.1
4-Apr-18,1850.2,1879,1850.2,1865.55,1866.047671,923,207,1722362,418,45.29,28.8,15.35
3-Apr-18,1850,1855.1,1835,1841.4,1843.325843,356,85,656224,165,46.35,20.1,-8.6
2-Apr-18,1889.6,1899.85,1850,1862.75,1870.24918,305,106,570426,213,69.84,49.85,-26.85
28-Mar-18,1889.95,1899.8,1875,1878.85,1888.98664,2994,96,5655626,221,7.38,24.8,-11.1
27-Mar-18,1890.75,1930,1880,1892.3,1892.464767,5861,175,11091736,5459,93.14,50,1.55
26-Mar-18,1910,1945,1890,1917.1,1903.969892,465,85,885346,342,73.55,55,7.1
23-Mar-18,1944,1955.8,1910,1940.85,1925.140532,3686,313,7096068,2385,64.7,45.8,-3.15
22-Mar-18,1942.05,1958.95,1932.35,1947.1,1945.155022,458,50,890881,202,44.1,26.6,5.05
21-Mar-18,1963.55,1963.55,1942.4,1948.6,1947.789627,1369,103,2666524,712,52.01,21.15,-14.95
20-Mar-18,1943.3,1960,1940,1950.4,1945.688638,4339,379,8442343,2349,54.14,20,7.1
19-Mar-18,1945.15,1955.4,1943,1950.7,1948.293844,861,64,1677481,421,48.9,12.4,5.55
16-Mar-18,1921.1,1966.9,1921.1,1948.75,1946.728859,1490,328,2900626,753,50.54,45.8,27.65
15-Mar-18,1952,1963,1934.05,1953.4,1952.066242,785,82,1532372,535,68.15,28.95,1.4
14-Mar-18,1950,1970,1945,1963.2,1955.955069,868,113,1697769,510,58.76,25,13.2
13-Mar-18,1947,1960,1921.4,1951.05,1951.917354,6183,374,12068705,4637,75,38.6,4.05
12-Mar-18,1956.25,1956.25,1932.5,1941.45,1944.479905,423,71,822515,252,59.57,23.75,-14.8
9-Mar-18,1942.75,1960,1905.65,1954.85,1935.646325,2163,167,4186803,1271,58.76,54.35,12.1
8-Mar-18,1959.95,1959.95,1922,1929.25,1938.996355,1646,170,3191588,1066,64.76,37.95,-30.7
7-Mar-18,1965,1965,1936.4,1960.7,1958.691402,849,107,1662929,716,84.33,28.6,-4.3
6-Mar-18,1959.9,1965,1946.65,1961,1957.865169,445,70,871250,288,64.72,18.35,1.1
5-Mar-18,1939.5,1945,1916.75,1940.95,1924.544739,15747,169,30305806,15460,98.18,28.25,1.45
1-Mar-18,1937.4,1946.15,1916.65,1922.6,1932.16041,293,44,566123,163,55.63,29.5,-14.8
28-Feb-18,1927.2,1935.6,1917.35,1926.65,1924.684597,409,49,787196,355,86.8,18.25,-0.55
27-Feb-18,1936.6,1939.35,1918.1,1921.7,1925.105263,76,21,146308,33,43.42,21.25,-14.9
26-Feb-18,1921,1946.9,1910,1916.9,1929.938144,582,96,1123224,316,54.3,36.9,-4.1
23-Feb-18,1927.35,1930.5,1907,1921.45,1923.67014,2495,79,4799557,308,12.34,23.5,-5.9
22-Feb-18,1912.05,1934.95,1909.05,1926.4,1926.912929,758,85,1460600,541,71.37,25.9,14.35
21-Feb-18,1976.55,1976.55,1910.95,1921.95,1928.297468,2844,188,5484078,1586,55.77,65.6,-54.6
20-Feb-18,1970.5,1979.75,1950,1956.3,1964.182178,505,65,991912,289,57.23,29.75,-14.2
19-Feb-18,1986.7,1995.5,1925,1963.4,1969.446478,2513,356,4949219,1034,41.15,70.5,-23.3
16-Feb-18,2006.5,2010.65,1974,2000.6,1996.70979,1144,153,2284236,653,57.08,36.65,-5.9
15-Feb-18,2005,2012.05,1970,1996.1,1992.717033,728,114,1450698,343,47.12,42.05,-8.9
14-Feb-18,1990,2020.85,1980.3,1992.1,1998.5273,2619,291,5234143,1443,55.1,40.55,2.1
12-Feb-18,1973.05,1990,1950.2,1970.25,1973.714162,1151,129,2271745,607,52.74,39.8,-2.8
9-Feb-18,1949.55,1979.95,1930.05,1946.4,1945.105413,351,71,682732,133,37.89,49.9,-3.15
8-Feb-18,1953.95,1989,1948.05,1985.3,1973.986962,767,141,1514048,354,46.15,40.95,31.35
7-Feb-18,1969.5,1969.5,1932.75,1944.25,1948.695817,526,85,1025014,260,49.43,36.75,-25.25
6-Feb-18,1915,1950,1915,1931.85,1931.016517,1332,155,2572114,719,53.98,35,16.85
5-Feb-18,1955,1969.9,1914,1963.05,1945.138589,1205,128,2343892,529,43.9,55.9,8.05
2-Feb-18,1955.7,1972.5,1920,1939.45,1940.980841,1618,191,3140507,908,56.12,52.5,-16.25
1-Feb-18,1957,1979.5,1936.6,1974.1,1963.822206,1378,164,2706147,699,50.73,42.9,17.1
