Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-Jan-20,9.68,9.68,9.4,9.68,9.657647329,74137,96,715989,74137,100,0.28,0
24-Jan-20,9.22,9.22,8.8,9.22,9.171968977,174578,145,1601224,174578,100,0.42,0
23-Jan-20,8.79,8.79,8.79,8.79,8.789968652,20735,57,182260,20735,100,0,0
22-Jan-20,7.6,8.38,7.6,8.38,7.80537486,197847,120,1544270,197847,100,0.78,0.78
21-Jan-20,8.45,8.45,7.98,7.99,7.988047476,407529,319,3255361,407529,100,0.47,-0.46
20-Jan-20,8.4,8.85,8.4,8.4,8.437191436,472754,509,3988716,472754,100,0.45,0
17-Jan-20,8.84,9,8.84,8.84,8.840663762,341749,301,3021288,341749,100,0.16,0
16-Jan-20,9.3,9.6,9.3,9.3,9.30220465,144422,316,1343443,144422,100,0.3,0
15-Jan-20,9.78,9.95,9.78,9.78,9.780480627,278636,291,2725194,278636,100,0.17,0
14-Jan-20,10.29,10.75,10.29,10.29,10.2908123,611611,402,6293974,611611,100,0.46,0
13-Jan-20,11.2,11.4,10.8,10.83,10.91727524,161717,697,1765509,161717,100,0.6,-0.37
10-Jan-20,11.33,11.8,11.08,11.36,11.27430868,64442,212,726539,64442,100,0.72,0.03
9-Jan-20,11.4,11.86,11.27,11.35,11.45163815,38336,371,439010,38336,100,0.59,-0.05
8-Jan-20,11.52,12.45,11.27,11.31,11.4122446,68765,226,784763,68765,100,1.18,-0.21
7-Jan-20,11.7,12.3,11.6,11.86,11.99640426,62574,311,750663,62574,100,0.7,0.16
6-Jan-20,12.35,12.41,11.9,12.12,12.16083035,130162,380,1582878,130162,100,0.51,-0.23
3-Jan-20,11.3,11.82,10.7,11.82,11.6436359,189312,168,2204280,189312,100,1.12,0.52
2-Jan-20,11,11.39,10.85,11.26,11.08870163,187381,296,2077812,187381,100,0.54,0.26
1-Jan-20,11,11.1,10.55,10.9,10.96396318,184367,162,2021393,184367,100,0.55,-0.1
31-Dec-19,11.08,11.08,10.4,10.82,10.70258065,83041,211,888753,83041,100,0.68,-0.26
30-Dec-19,11.2,11.2,10.67,10.73,10.77123514,85966,312,925960,85966,100,0.53,-0.47
27-Dec-19,10.55,11.29,10.5,11.23,11.11273969,312543,379,3473209,312543,100,0.79,0.68
26-Dec-19,10.95,10.95,10.25,10.76,10.69155271,166077,299,1775621,166077,100,0.7,-0.19
24-Dec-19,10.8,10.86,10.41,10.43,10.52459947,93315,291,982103,72217,77.39,0.45,-0.37
23-Dec-19,10.92,11,10.64,10.95,10.88410623,111119,178,1209431,83940,75.54,0.36,0.03
20-Dec-19,11.12,11.17,10.9,10.92,10.99669489,56579,156,622182,44960,79.46,0.27,-0.2
19-Dec-19,11.45,11.45,11.05,11.17,11.14755588,27515,121,306725,16098,58.51,0.4,-0.28
18-Dec-19,11.7,11.9,11.2,11.42,11.45946184,34042,142,390103,22426,65.88,0.7,-0.28
17-Dec-19,12.42,12.42,11.6,11.64,11.71157024,82911,234,971018,46325,55.87,0.82,-0.78
16-Dec-19,12.14,12.14,11.62,11.99,11.91011249,83293,178,992029,47962,57.58,0.52,-0.15
13-Dec-19,11.84,12.14,11.58,12.14,12.08087164,365839,400,4419654,225868,61.74,0.56,0.3
12-Dec-19,10.61,11.65,10.61,11.57,11.20024135,134243,1525,1503554,81433,60.66,1.04,0.96
11-Dec-19,11.62,11.85,11.11,11.11,11.19689307,68814,181,770503,52863,76.82,0.74,-0.51
10-Dec-19,12.15,12.2,11.65,11.69,11.80240017,74828,828,883150,62560,83.6,0.55,-0.46
9-Dec-19,12.2,12.6,12.1,12.15,12.29004616,75388,159,926522,44465,58.98,0.5,-0.05
6-Dec-19,12.61,13,12.14,12.25,12.54473124,146173,220,1833701,97592,66.76,0.86,-0.36
5-Dec-19,12,12.63,11.75,12.61,12.38880663,205997,889,2552057,96389,46.79,0.88,0.61
4-Dec-19,12.1,12.47,12.01,12.03,12.13283173,173445,276,2104379,134055,77.29,0.46,-0.07
3-Dec-19,13.79,13.79,12.6,12.61,12.82114376,103955,566,1332822,61476,59.14,1.19,-1.18
2-Dec-19,13.66,13.66,13.09,13.15,13.14850225,136705,342,1797466,103364,75.61,0.57,-0.51
29-Nov-19,14,14.1,13.64,13.69,13.77827822,171404,421,2361652,128633,75.05,0.46,-0.31
28-Nov-19,14.5,14.5,13.64,13.7,13.73545679,112458,257,1544662,97077,86.32,0.86,-0.8
